0 1.74
1 1.73
2 2.44
3 1.82
4 2.22
5 2.58
6 2.12
7 1.86
8 1.86
9 1.77
10 1.87
11 2.17
12 2.06
13 2.34
14 2.67
15 2.85
16 3.05
